,Nama_Produk,Akun,ulasan,rate,,,,,Ulasan_clean
206,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Febby,agak panas pas dipakai,5,,,,,panas pakai
207,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,n***l,proses barang dijemput kurir lama banget anjas lah pokoknya,1,,,,,proses barang jemput kurir banget anjas pokok
208,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Heni,pengirimn cepet produkx juga bagus konsumen   sukamkasih,4,,,,,pengirimn cepat produk bagus konsumen suka makasih
209,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Yati,bagus pengiriman cepat,5,,,,,bagus kirim cepat
210,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesanan pengiriman cepat,5,,,,,barang sesuai pesan kirim cepat
211,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),l***h,pelayanan bagusseller ramah dan cepat reply chatdan pengiriman cepat sekali tapi belum sempat buka dusnyarecommemded,5,,,,,layan bagus ramah cepat reply chatdan kirim cepat buka dusnyarecommemded
212,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),M***M,packingnya rapih bgus barang sesuai,5,,,,,packingnya rapi bagus barang sesuai
213,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Agung,pengiriman cepet packing tambah kardus juga,5,,,,,kirim cepat packing kardus
214,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),D***q,barang sudah diterima dengan baik terima kasih,5,,,,,barang terima terima kasih
215,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Haernudin,mantap thanks,5,,,,,mantap thanks
216,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),D***n,cepat  akurat,5,,,,,cepat akurat
217,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),R***l,original recommended seller,5,,,,,original rekomendasi seller
218,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Andriana,tepat waktu pengirimannyamantul gan,5,,,,,pengirimannyamantul gan
219,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Andreas,packing rapi dan cepat sampai,5,,,,,packing rapi cepat
220,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),L***y,barang sesuai dgn yg ditawarkan,4,,,,,barang sesuai tawar
221,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,J***r,good product and fast response,5,,,,,good product and fast response
222,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,yuri,tq,5,,,,,tq
223,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Kezia,puasssss bakal sering order disini,5,,,,,puasssss order
224,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,M***i,bagusssss,5,,,,,bagus
225,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,S***i,maskernya lebih kecil dr tipe kf  lainnya,4,,,,,masker tipe kf
226,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Andin,barang aman belum di coba semoga nyaman dipakai,4,,,,,barang aman coba moga nyaman pakai
227,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,endang,barang sesuai deskripsi harga terjangkau fast respon,5,,,,,barang sesuai deskripsi harga jangkau fast respon
228,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Fikri,better lah ya,5,,,,,better ya
229,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Wiggo,packing oke pake dus tambahan,5,,,,,packing oke pakai dus tambah
230,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,S***n,kualitas lumayan,4,,,,,kualitas lumayan
231,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Ninna,ini pembelian ke   menurit sy ini masker paling lembut   nyaman dr smua masker yg pernah sy beli karetnya kuat gak gampang putus   gak ikin sesek cocok banget banget buat anak  sayang aj harganya masih lumayan tinggi smoga sering  diskon ya,5,,,,,beli menurit masker lembut nyaman masker beli karet kuat gampang putus ikin sek cocok banget banget anak sayang harga lumayan moga diskon ya
232,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Fabiola,sudah lebih dari     beli rising,5,,,,,beli rising
233,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,S***a,bagus kualitasnya pakcagin aman lembut buat anak,5,,,,,bagus kualitas pakcagin aman lembut anak
234,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Benny,makasih gan barang telah diterima bahannya lembut pengiriman jg cepet,5,,,,,terima kasih gan barang terima bahan lembut kirim cepat
235,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,H***i,faste respond,5,,,,,faste respond
236,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,m***i,bahannya halus banget lebih halus dari merek si,5,,,,,bahan halus banget halus merek sih
237,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Bony,packing rapi,5,,,,,packing rapi
238,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Novi,baguss dan cepat,5,,,,,bagus cepat
239,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,resty,packing rapi kualitas oke,5,,,,,packing rapi kualitas oke
240,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Chardova,produk original sesuai deskripsi pengiriman cepat harga produk baik respon penjual baik,5,,,,,produk original sesuai deskripsi kirim cepat harga produk respon jual
241,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Handana,kemasan rapi,5,,,,,kemas rapi
242,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),F***i,perasaan lebih tipis dari yang di indmret  apa yg indmret   ply yasoalnya kalo kesana belinya nexcare juga,4,,,,,asa tipis indmret indmret ply yasoalnya kalo kesana beli nexcare
243,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),n***a,beli per box dapet bonus   kf  tapi tidak di kirimminta produk di foto agar bisa di proses complain bonus kok minta foto produk,1,,,,,beli box bonus kf kirimminta produk foto proses complain bonus foto produk
244,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),W***m,produk bagus dan original pengiriman sangat cepat,5,,,,,produk bagus original kirim cepat
245,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Elike,packing amburadul dus masker penyok sepenyok nya dus nyasampai terbuka karena tidak diisolasi,1,,,,,packing amburadul dus masker penyok penyok nya dus nyasampai buka isolasi
246,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),J***y,satu aja sih packingnya ga bagus udah   kali pesan dusnya penyok untung aja dalemnya ada plastiknya lagi,4,,,,,sih packingnya bagus kali pesan dus penyok untung dalem plastik
247,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),A***t,thanks barang sudah saya terima dengan baik,5,,,,,thanks barang terima
248,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Z***n,mantapssss,5,,,,,mantapssss
249,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),I***n,top,5,,,,,top
250,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Y***i,packing rapipesanan sesuai,5,,,,,packing rapipesanan sesuai
251,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,I***a,barangnya bagus dan recommended banget,5,,,,,barang bagus rekomendasi banget
252,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,a***s,produk berkualitas dan sangat bermanfaat mari kita bersama saling menjaga dari virus covid  tks,5,,,,,produk kualitas manfaat mari jaga virus covid tks
253,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Y***z,size agak kecil ternyata bahan ok,4,,,,,size bahan ok
254,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,N***a,bagus bahannya sukaaaaa,5,,,,,bagus bahan sukaaaaa
255,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,a***s,produk bermanfaat dan berkualitas buat anakanak mari kita bersama menjaga supaya pandemi covid  segera berakhir,5,,,,,produk manfaat kualitas anakanak mari jaga pandemi covid
256,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,n***a,pas banget ukurannyaselalu cocok dg masker dr sritexgood quality,5,,,,,banget ukurannyaselalu cocok masker sritexgood quality
257,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Medyarti,pengiriman supeeeer cepat order subuh malam sudah datang kemasan rapi banget pake bubble warp dan kotak maskernya juga tebal dan sesuai gambar saya puaas banget dgn pelayanannya,5,,,,,kirim supeeeer cepat order subuh malam kemas rapi banget pakai bubble warp kotak masker tebal sesuai gambar puaas banget layan
258,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Tutiek,bagus semoga talinya awet,5,,,,,bagus moga tali awet
259,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Hery,ok,5,,,,,ok
260,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Aan,respon cepat malam order siang uda sampe mantapp,5,,,,,respon cepat malam order siang mantap
261,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Revan,thx sesuai ekspetasi selalu beli disini ,5,,,,,thx sesuai ekspetasi beli
262,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,dunia,bagus  pelayanan cepat,5,,,,,bagus layan cepat
263,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Asib,barang ny sesuai dgn pesanan mksh toped,5,,,,,barang nya sesuai pesan terima kasih toped
264,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,V***a,pengiriman  packing amanseller responsif dah beli bbrp kaliterima kasih,5,,,,,kirim packing amanseller responsif deh beli kaliterima kasih
265,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Ariel,responsif barang cepat sampai packing rapi memuaskan makasih gan,5,,,,,responsif barang cepat packing rapi muas terima kasih gan
266,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,t***a,produk sudah tiba dengan selamat dan baik barangnya bagus packingan lumayan aman mohon ditingkatkan lagi untuk packingan terima kasih,4,,,,,produk selamat barang bagus packingan lumayan aman mohon tingkat packingan terima kasih
267,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Ariyanto,merk cuma di dus masker ga ada merk dan kualitas ya seperti masker tanpa merk baru pake pas mau buka langsung putus talinya,2,,,,,merk dus masker merk kualitas ya masker merk pakai buka langsung putus tali
268,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,SOFYAN,kereeen,5,,,,,keren
269,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Lucky,order pagi sore udah sampe padahal pake gratis ongkir bukan sameday barang bagus sesuai lah sama harga,5,,,,,order pagi sore pakai gratis ongkir sameday barang bagus sesuai harga
270,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,I***n,bagus agak tipis dr pd yg biasa aq beli selisih  rb doang pdhl,5,,,,,bagus tipis beli selisih ribu doang
271,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,T***o,tali nya agak sakit di kuping kalau pakai lamaan,3,,,,,tali nya sakit kuping pakai lama
272,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Anisah,masker talinya panjang dan gak sakit dikupingmantap,5,,,,,masker tali sakit dikupingmantap
273,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Rizal,terima kasih,5,,,,,terima kasih
274,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Fitria,bagus dalemnya ada plastik lagi semoga aman,5,,,,,bagus dalem plastik moga aman
275,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,R***a,service bagus delivery tepat waktu,5,,,,,service bagus delivery
276,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Taufiq,barang diterima dgn baik,5,,,,,barang terima
277,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,T***h,murah dan berkualitas dipakenya juga enak,5,,,,,murah kualitas dipakenya enak
278,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Beta,paket sudah diterima dalam keadaan oke respon seller cepat proses pesanan cepat kualitas oke sesuai gambar dan pesanan terima kasih dan semoga sukses,5,,,,,paket terima oke respon seller cepat proses pesan cepat kualitas oke sesuai gambar pesan terima kasih moga sukses
279,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Syarizal,pengiriman cepatmantappp,5,,,,,kirim cepat
280,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Cecep,kualitas bagus recommended,5,,,,,kualitas bagus rekomendasi
281,Madame Gie Protect You KN95 Mask - Masker Kesehatan,A***i,kaget ama kemasannya tdk sesuai dgn apa yg aku bayangkan apakah karna aku beli hrga kejar diskon   klo hrga normal mungkin lebih rapih ya secara  rb banding  rb   btw makasih maskernya kakak,2,,,,,kaget kemas sesuai bayang beli hrga kejar diskon kalo hrga normal rapi ya ribu banding ribu btw terima kasih masker kakak
282,Madame Gie Protect You KN95 Mask - Masker Kesehatan,S***a,sesuai deskripsi,5,,,,,sesuai deskripsi
283,Madame Gie Protect You KN95 Mask - Masker Kesehatan,C***a,sudah diterima,5,,,,,terima
284,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Afrizal,kaya masker biasa sejenis gk ada merkembossed ati  temen tertipu dgn merk nya,2,,,,,kayak masker jenis merkembossed ati teman tipu merk nya
285,Madame Gie Protect You KN95 Mask - Masker Kesehatan,M***i,thanks gan barang udah sampai,4,,,,,thanks gan barang
286,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Ramadhan,barang bagus sampainya cepat dibungkus dg aman,5,,,,,barang bagus sampai cepat bungkus aman
287,Madame Gie Protect You KN95 Mask - Masker Kesehatan,ANTON,ok,5,,,,,ok
288,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Joko,biasa aja,2,,,,,
289,Madame Gie Protect You KN95 Mask - Masker Kesehatan,ANTON,mantab,5,,,,,mantab
290,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Maria,kn  nya sesuai ekspektasi  dipacking jd satu dgn maskernya krn pesan di toko yg sama packing aman rapih,5,,,,,nya sesuai ekspektasi dipacking masker pesan toko packing aman rapi
291,Buy 1 Get 1 - Masker Primero - Sachet,A***g,kualitas barang baik pengiriman lbh cepat dr sblm nya,5,,,,,kualitas barang kirim cepat nya
292,Buy 1 Get 1 - Masker Primero - Sachet,Ayu,good produk di kemas higienis per  pcs masker di plastik pengiriman cepat dan kualitas ok,5,,,,,good produk kemas higienis pcs masker plastik kirim cepat kualitas ok
293,Buy 1 Get 1 - Masker Primero - Sachet,a***a,deskripsi produk tidak sesuai dgn yg diterima pengiraman lama dan slow respon kotak penyok meskipun sudah di bubble wrap karena kotak masker tipis,1,,,,,deskripsi produk sesuai terima iram slow respon kotak penyok bubble wrap kotak masker tipis
294,Buy 1 Get 1 - Masker Primero - Sachet,M***y,top lah keren,5,,,,,top keren
295,Buy 1 Get 1 - Masker Primero - Sachet,M***l,parahini masker hargany overpersis dengan yg harga   ribu   dus official store tokopedia harus lebih selektif barang tidak bermutu over price pula ini masker sertifikasi aja daily maskdijual seharga surgical mask,1,,,,,parahini masker hargany overpersis harga ribu dus official store tokopedia selektif barang mutu over price masker sertifikasi daily maskdijual harga surgical mask
296,Buy 1 Get 1 - Masker Primero - Sachet,a***a,barang yg dikirim tdk sesuai deskripsi tidak tertera ijin kemenkes dan tgl exp date di kotak pengiriman lama pesan    kotaknya penyok karena gak di packing masukin ke dalam dus untung ada pelindung bubble wrap,1,,,,,barang kirim sesuai deskripsi tera ijin kemenkes tanggal exp date kotak kirim pesan kotak penyok packing masuk dus untung lindung bubble wrap
297,Buy 1 Get 1 - Masker Primero - Sachet,Teguh,kotaknya penyok disana sini mngkn dr pihak expediai,5,,,,,kotak penyok sana mngkn expediai
298,Buy 1 Get 1 - Masker Primero - Sachet,F***a,barang sesuai dan kualitas baik cuma kardusnya agak penyok sedikit next time mau order lagi kalo ada promo yg menarik banyakin promonya,5,,,,,barang sesuai kualitas kardus penyok next time order kalo promo tarik banyak promonya
299,Buy 1 Get 1 - Masker Primero - Sachet,N***a,dapet harga promo jadi murah pengiriman agak lama mungkin karena promo,5,,,,,harga promo murah kirim promo
300,Buy 1 Get 1 - Masker Primero - Sachet,G***g,agak lama emang diproses sampe dikirim dan nyampe jadi harus agak sabar ya temanteman yg mau beli paket cuman di bubble wrap saja sedikit penyok tapi gpp soalnya isinya yang saya dapat ternyata packagingnya per  pcs sealed jadi aman untuk kualitas maskernya belom dicoba tapi saya pernah pake merk ini juga beli di minimarket cukup bagus kualitasnya,5,,,,,proses kirim sabar ya temanteman beli paket cuman bubble wrap penyok enggak apa isi packagingnya pcs sealed aman kualitas masker coba pakai merk beli minimarket bagus kualitas
