,Nama_Produk,Akun,Ulasan,rate
186,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Muji,proses puas barang kirim,5
187,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,s***y,bonus,5
188,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,T***r,cepat mantap,5
189,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,widhi,cepat kirim,5
190,masker kf94 pink 4ply masker antivirus kesehatan isi 10pcs,Senny,tidak ada komentar,5
191,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Heri,alhamdulillah sesuai pesan barang bagus,5
192,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Toni,barang sesuai peaanan,5
193,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,M***r,cerita beli pcs dikotakin kes bunafit ply sayang kwalitas premium,5
194,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,R***n,brng nya dngn sesuai pesan bahan nya bagus sek napas nya makasihhhh,5
195,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,AFRODI,masker lumayan bagus besi tempel maksimal,5
196,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Melina,beli kedau barang ok,5
197,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Alex,cepat komplit top,5
198,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Aris,mantulll,5
199,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Sekardewi,pesan plastik masker plastik masker masker,4
200,Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB,Endang,kirim cepat barang sesuai foto kurir ramah,5
201,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Usep,okeeehhh,5
202,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Stephanus,dua kali beli sayang lambat respon order pagi kirim sore respon respon itu kirim besok barang bagus sesuai harga,5
203,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Rahmat,barang sesuai minta bagus komunikasi jual beli pro aktif,5
204,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Alden,bagus masker,5
205,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesan,5
206,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Febby,panas pakai,3
207,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,n***l,proses barang jemput kurir banget anjas pokok,5
208,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Heni,pengirimn cepat produk bagus konsumen suka makasih,5
209,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Yati,bagus kirim cepat,5
210,Masker KF94 4 Ply Isi 10 Pcs Masker Medis Kesehatan Kemasan Plastik - Putih,Husin,barang sesuai pesan kirim cepat,5
211,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),l***h,layan bagusseller ramah cepat reply chatdan kirim cepat buka dusnyarecommemded,5
212,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),M***M,packingnya rapi bagus barang sesuai,5
213,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Agung,kirim cepat packing kardus,5
214,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),D***q,barang terima terima kasih,5
215,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Haernudin,mantap thanks,5
216,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),D***n,cepat akurat,5
217,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),R***l,original recommended seller,5
218,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Andriana,pengirimannyamantul gan,5
219,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),Andreas,packing rapi cepat,5
220,Softies Surgical Mask 30s isi 30 Masker Medis (spt Sensi Nexcare 3M),L***y,barang sesuai tawar,5
221,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,J***r,good product and fast response,5
222,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,yuri,tq,5
223,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Kezia,puasssss order,5
224,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,M***i,bagusssss,5
225,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,S***i,masker tipe kf,5
226,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Andin,barang aman coba moga nyaman pakai,5
227,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,endang,barang sesuai deskripsi harga jangkau fast respon,5
228,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Fikri,better ya,4
229,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,Wiggo,packing oke pakai dus tambah,5
230,MIISOO Disposable N95 KN95 Korea KF94 Masker Kesehatan masker evo 4ply - EVO 1pcs,S***n,kualitas lumayan,4
231,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Ninna,beli menurit masker lembut nyaman masker beli karet kuat gampang putus ikin sek cocok banget banget anak sayang harga lumayan moga diskon ya,5
232,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Fabiola,beli rising,5
233,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,S***a,bagus kualitas pakcagin aman lembut anak,5
234,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Benny,terima kasih gan barang terima bahan lembut kirim cepat,5
235,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,H***i,faste respond,5
236,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,m***i,bahan halus banget halus merek sih,5
237,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Bony,packing rapi,5
238,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Novi,bagus cepat,5
239,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,resty,packing rapi kualitas oke,5
240,THANKFUL - Masker Headloop Anak 4 Ply | Masker Anak Karet | Face Mask,Chardova,produk original sesuai deskripsi kirim cepat harga produk respon jual,5
241,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Handana,kemas rapi,5
242,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),F***i,asa tipis indmret indmret ply yasoalnya kalo kesana beli nexcare,3
243,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),n***a,beli box bonus kf kirimminta produk foto proses complain bonus foto produk,4
244,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),W***m,produk bagus original kirim cepat,5
245,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Elike,packing amburadul dus masker penyok penyok nya dus nyasampai buka isolasi,2
246,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),J***y,sih packingnya bagus kali pesan dus penyok untung dalem plastik,3
247,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),A***t,thanks barang terima,5
248,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Z***n,mantapssss,5
249,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),I***n,top,5
250,Nexcare 3M Masker 3 Lapis Earloop 3 Ply Daily Mask - 1 Box (36 Masker),Y***i,packing rapipesanan sesuai,5
251,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,I***a,barang bagus recommended banget,5
252,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,a***s,produk kualitas manfaat mari jaga virus covid tks,5
253,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Y***z,size bahan ok,5
254,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,N***a,bagus bahan sukaaaaa,5
255,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,a***s,produk manfaat kualitas anakanak mari jaga pandemi covid,5
256,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,n***a,banget ukurannyaselalu cocok masker sritexgood quality,5
257,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Medyarti,kirim supeeeer cepat order subuh malam kemas rapi banget pakai bubble warp kotak masker tebal sesuai gambar puaas banget layan,5
258,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Tutiek,bagus moga tali awet,5
259,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Hery,ok,5
260,Baru! Masker Kain Airycool 3D Dewasa Anti Mikrobial dan Air (10 pcs) - Kids White,Aan,respon cepat malam order siang mantap,5
261,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Revan,thx sesuai ekspetasi beli,5
262,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,dunia,bagus layan cepat,4
263,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Asib,barang nya sesuai pesan terima kasih toped,5
264,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,V***a,kirim packing amanseller responsif deh beli kaliterima kasih,5
265,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Ariel,responsif barang cepat packing rapi muas terima kasih gan,5
266,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,t***a,produk selamat barang bagus packingan lumayan aman mohon tingkat packingan terima kasih,5
267,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Ariyanto,merk dus masker merk kualitas ya masker merk pakai buka langsung putus tali,3
268,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,SOFYAN,keren,5
269,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,Lucky,order pagi sore pakai gratis ongkir sameday barang bagus sesuai harga,5
270,Face Mask Earloop 50pcs Masker mulut/ Masker Wajah Kesehatan 3ply BNPB - Pack 10pcs,I***n,bagus tipis beli selisih ribu doang,4
271,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,T***o,tali nya sakit kuping pakai lama,1
272,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Anisah,masker tali sakit dikupingmantap,4
273,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Rizal,terima kasih,5
274,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Fitria,bagus dalem plastik moga aman,5
275,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,R***a,service bagus delivery,5
276,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Taufiq,barang terima,5
277,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,T***h,murah kualitas dipakenya enak,5
278,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Beta,paket terima oke respon seller cepat proses pesan cepat kualitas oke sesuai gambar pesan terima kasih moga sukses,5
279,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Syarizal,kirim cepatmantappp,5
280,Goto Disposable Mask KN 95 Facemask 5Ply Earloop Masker KN95 5 Ply - 10 pcs,Cecep,kualitas bagus recommended,5
281,Madame Gie Protect You KN95 Mask - Masker Kesehatan,A***i,kaget kemas sesuai bayang beli hrga kejar diskon kalo hrga normal rapi ya ribu banding ribu btw terima kasih masker kakak,5
282,Madame Gie Protect You KN95 Mask - Masker Kesehatan,S***a,sesuai deskripsi,5
283,Madame Gie Protect You KN95 Mask - Masker Kesehatan,C***a,terima,5
284,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Afrizal,kayak masker jenis merkembossed ati teman tipu merk nya,2
285,Madame Gie Protect You KN95 Mask - Masker Kesehatan,M***i,thanks gan barang,5
286,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Ramadhan,barang bagus sampai cepat bungkus aman,5
287,Madame Gie Protect You KN95 Mask - Masker Kesehatan,ANTON,ok,5
288,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Joko,tidak ada komentar,5
289,Madame Gie Protect You KN95 Mask - Masker Kesehatan,ANTON,mantab,5
290,Madame Gie Protect You KN95 Mask - Masker Kesehatan,Maria,nya sesuai ekspektasi dipacking masker pesan toko packing aman rapi,5
291,Buy 1 Get 1 - Masker Primero - Sachet,A***g,kualitas barang kirim cepat nya,5
292,Buy 1 Get 1 - Masker Primero - Sachet,Ayu,good produk kemas higienis pcs masker plastik kirim cepat kualitas ok,5
293,Buy 1 Get 1 - Masker Primero - Sachet,a***a,deskripsi produk sesuai terima iram slow respon kotak penyok bubble wrap kotak masker tipis,5
294,Buy 1 Get 1 - Masker Primero - Sachet,M***y,top keren,5
295,Buy 1 Get 1 - Masker Primero - Sachet,M***l,parahini masker hargany overpersis harga ribu dus official store tokopedia selektif barang mutu over price masker sertifikasi daily maskdijual harga surgical mask,2
296,Buy 1 Get 1 - Masker Primero - Sachet,a***a,barang kirim sesuai deskripsi tera ijin kemenkes tanggal exp date kotak kirim pesan kotak penyok packing masuk dus untung lindung bubble wrap,3
297,Buy 1 Get 1 - Masker Primero - Sachet,Teguh,kotak penyok sana mngkn expediai,2
298,Buy 1 Get 1 - Masker Primero - Sachet,F***a,barang sesuai kualitas kardus penyok next time order kalo promo tarik banyak promonya,3
299,Buy 1 Get 1 - Masker Primero - Sachet,N***a,harga promo murah kirim promo,4
300,Buy 1 Get 1 - Masker Primero - Sachet,G***g,proses kirim sabar ya temanteman beli paket cuman bubble wrap penyok enggak apa isi packagingnya pcs sealed aman kualitas masker coba pakai merk beli minimarket bagus kualitas,2
301,Masker KN95 Mouson Pro isi 10pcs - MOUSONPRO WHITE,F***r,"barang cepat sampai,sesuai pesanan..",4
302,Masker KN95 Mouson Pro isi 10pcs - MOUSONPRO WHITE, imam, Pengiriman cepat dan rapih terima kasih 😎,5
303,Masker KN95 Mouson Pro isi 10pcs - MOUSONPRO WHITE, CeramicsNusa, Barang sudah sampai. Barang bagus.,5
304,Masker KN95 Mouson Pro isi 10pcs - MOUSONPRO WHITE,B***o,  Produk sesuai diskripsi. Masker nyaman dipakai. Sangat cocok utk wajah yang lebar. Respon penjual bagus. Terima kasih,5
305,Masker KN95 Mouson Pro isi 10pcs - MOUSONPRO WHITE, Rizky," dalemnya warna hitam, padahal sebel beli udah nanya dan kata seller putih. seller nawarin retur tp ya percuma semua dalemnya hitam",2
306,Masker KN95 Mouson Pro isi 10pcs - MOUSONPRO WHITE, Michael, Barang dikirim kurang namun setelah komplain langsung dikirim terbaik lahh,5
307,Masker KN95 Mouson Pro isi 10pcs - MOUSONPRO WHITE, Muljadi, Barang dan warna sesuai pesanan. Ada bonus 5 buah.👍👍👍👍,5
308,Masker KN95 Mouson Pro isi 10pcs - MOUSONPRO WHITE, D***y,"Respon cepat, kurir cepat, packing plastik, produk sdh request yg mouson 2023, putih diksh mouson biasa uk nya kan berbeda.",5
309,Masker KN95 Mouson Pro isi 10pcs - MOUSONPRO WHITE, I***S, ternyata lbh kecil dr yg biasa sy beli,2
310,Masker KN95 Mouson Pro isi 10pcs - MOUSONPRO WHITE, P***r," barang sesuai, response pengiriman cepat",5
311,Shumu Masker Duckbill 4ply Earloop 4 ply Sensi Garis Hidung isi 10 pcs - KEA DB BLACK, H," Kualitas barang baik, layanan dan pengiriman juga baik dan cepat. Recommended!",5
312,Shumu Masker Duckbill 4ply Earloop 4 ply Sensi Garis Hidung isi 10 pcs - KEA DB BLACK, al, good and thanks,5
313,Shumu Masker Duckbill 4ply Earloop 4 ply Sensi Garis Hidung isi 10 pcs - KEA DB BLACK, s***a, pengirimannya super lemot pake ant aj,1
314,Shumu Masker Duckbill 4ply Earloop 4 ply Sensi Garis Hidung isi 10 pcs - KEA DB BLACK, Rizky, sesuai pesanan,5
315,Shumu Masker Duckbill 4ply Earloop 4 ply Sensi Garis Hidung isi 10 pcs - KEA DB BLACK, F***i, barangnya sudah sampai makasih semoga sukses,5
316,Shumu Masker Duckbill 4ply Earloop 4 ply Sensi Garis Hidung isi 10 pcs - KEA DB BLACK, A***o, okeeee....,5
317,Shumu Masker Duckbill 4ply Earloop 4 ply Sensi Garis Hidung isi 10 pcs - KEA DB BLACK, Iga," Ini pembelian kedua saya, krn barangnya memuaskan dan sesuai dgn deskripsi yg diinfokan toko",5
318,Shumu Masker Duckbill 4ply Earloop 4 ply Sensi Garis Hidung isi 10 pcs - KEA DB BLACK, E***n," pengeringan cepat, sesuai pesanan, packing aman, terimakasih",5
319,Shumu Masker Duckbill 4ply Earloop 4 ply Sensi Garis Hidung isi 10 pcs - KEA DB BLACK, L***i," Packing aman, masker sesuai pesanan, de best lah belanja disini",5
320,Shumu Masker Duckbill 4ply Earloop 4 ply Sensi Garis Hidung isi 10 pcs - KEA DB BLACK, Y***s," barang yg dtng sesuai dengan yg di foto,bagus,mantab",5
321,Masker bedah karet onemed hitam medis all black 3ply isi 25pcs, R***n, baguss .. dipake nyaman. mureh meriah,5
322,Masker bedah karet onemed hitam medis all black 3ply isi 25pcs, A***a," Admin respon cepat, pengiriman cepat & diterima kondisi baik. Terima kasih.",5
323,Masker bedah karet onemed hitam medis all black 3ply isi 25pcs, Agung," Recommended product and seller, thank you",5
324,Masker bedah karet onemed hitam medis all black 3ply isi 25pcs, Mbako, Barang sdh diterima dg baik. TK,5
325,Masker bedah karet onemed hitam medis all black 3ply isi 25pcs, R***i, Bagus,5
326,Masker bedah karet onemed hitam medis all black 3ply isi 25pcs, M***d, paking yahud.. box nya msh utuh.. segel msh ok..,5
327,Masker bedah karet onemed hitam medis all black 3ply isi 25pcs, A***e, barang di retur duit tidak dikembalikan,2
328,Masker bedah karet onemed hitam medis all black 3ply isi 25pcs, Y***f, Bahannya tipis banget kaya tisu! Najis,1
329,Masker bedah karet onemed hitam medis all black 3ply isi 25pcs, lawyer," barang tidak sesuai yang dibilang sama dengan gambar, tak sesuai deskripsi,",1
330,Masker bedah karet onemed hitam medis all black 3ply isi 25pcs, Sofyan," Maskernya bagus, bahan lembut dan tebal, mksh",5
331,[ KEA ] MASKER KN95 6PLY PREMIUM ISI 10 PCS KOREA DESIGN KN 95 WARNA - Putih, V***r,"seller responsif, barang sesuai deskripsi, pengepakan barang top, pengiriman cepat,,,",5
332,[ KEA ] MASKER KN95 6PLY PREMIUM ISI 10 PCS KOREA DESIGN KN 95 WARNA - Putih, l***a," tibanya CPT,masker segelnya aman,tebal,bgs.harga terjangkau.mantap",5
333,[ KEA ] MASKER KN95 6PLY PREMIUM ISI 10 PCS KOREA DESIGN KN 95 WARNA - Putih, Y***e," maskernya bagus , pengiriman cepat",5
334,[ KEA ] MASKER KN95 6PLY PREMIUM ISI 10 PCS KOREA DESIGN KN 95 WARNA - Putih, N***R, kuaĺitas barang bagus,5
335,[ KEA ] MASKER KN95 6PLY PREMIUM ISI 10 PCS KOREA DESIGN KN 95 WARNA - Putih, kristina," enak dipakai,pengiriman cepat,respon seller cepat",5
336,[ KEA ] MASKER KN95 6PLY PREMIUM ISI 10 PCS KOREA DESIGN KN 95 WARNA - Putih, artha, Lecek - Lecek masker nya,3
337,[ KEA ] MASKER KN95 6PLY PREMIUM ISI 10 PCS KOREA DESIGN KN 95 WARNA - Putih,R***a,"  Sesuai pesanan. Kualitas masker bagus, nyaman dipakai, bahannya tebal, warnanya cantik. Packaging rapi.",5
338,[ KEA ] MASKER KN95 6PLY PREMIUM ISI 10 PCS KOREA DESIGN KN 95 WARNA - Putih, E***g, Ada yg talinya putus,1
339,[ KEA ] MASKER KN95 6PLY PREMIUM ISI 10 PCS KOREA DESIGN KN 95 WARNA - Putih, gevita, Tidak lengkap/salah kirim,1
340,[ KEA ] MASKER KN95 6PLY PREMIUM ISI 10 PCS KOREA DESIGN KN 95 WARNA - Putih, W***a,"ada 1 masker yang talinya begitu. dan masker yang katanya 5ply, ternyata paling tipis diantara masker yang saya beli.",2
341,(50 pcs) Masker MOUSON KN95 Premium 5 PLY KN 95 Tebal - Lentur - Putih, ratihm,"bagus, bahan tebal, tali karet tidak mudah putus",5
342,(50 pcs) Masker MOUSON KN95 Premium 5 PLY KN 95 Tebal - Lentur - Putih,Lili,mksh,5
343,(50 pcs) Masker MOUSON KN95 Premium 5 PLY KN 95 Tebal - Lentur - Putih,Brian,"barang sesuai deskripsi, pengirimannya cepat, dan juga nyaman dipakai",5
344,(50 pcs) Masker MOUSON KN95 Premium 5 PLY KN 95 Tebal - Lentur - Putih,aloysius,trims respon cepat. barang dah diterima.semua oke👍👍👍👍,5
345,(50 pcs) Masker MOUSON KN95 Premium 5 PLY KN 95 Tebal - Lentur - Putih,m***e,"Karetnya pendek2 semua, kualitas tdk sama seperti yg sebelumnya, dipake di kepala pd copot tali nya, mengecewakan",2
346,(50 pcs) Masker MOUSON KN95 Premium 5 PLY KN 95 Tebal - Lentur - Putih,V***y,sesuai pesanan packing rqpih,5
347,(50 pcs) Masker MOUSON KN95 Premium 5 PLY KN 95 Tebal - Lentur - Putih,Allan,bagus pake banget masker nya. nyaman dipake. karetnya juga berasa kuat. Mantaap,5
348,(50 pcs) Masker MOUSON KN95 Premium 5 PLY KN 95 Tebal - Lentur - Putih,B***a,Bagus,5
349,(50 pcs) Masker MOUSON KN95 Premium 5 PLY KN 95 Tebal - Lentur - Putih,widia,barang tidak nyampe,1
350,(50 pcs) Masker MOUSON KN95 Premium 5 PLY KN 95 Tebal - Lentur - Putih,R***a,"tali tdk lengkap, cuma sebelah jd TDK bs dipakai. ukuran dewasa tp sempit. tali cpt putis",2
351,MASKER 3M 9501V+ KN95 N95 EARLOOP IMPORT ORIGINALL 1 BAG ISI 25 PCS,R***y,recommended seller,5
352,MASKER 3M 9501V+ KN95 N95 EARLOOP IMPORT ORIGINALL 1 BAG ISI 25 PCS,Riza,"Pelayanan cepat dan ramah, packing rapi tdk ada yg rusak dan barang masih tersegel. Thanks",5
353,MASKER 3M 9501V+ KN95 N95 EARLOOP IMPORT ORIGINALL 1 BAG ISI 25 PCS,M***d,"Fast response, barang ori, recommended",5
354,MASKER 3M 9501V+ KN95 N95 EARLOOP IMPORT ORIGINALL 1 BAG ISI 25 PCS,Dr,"Ada 1 box yg berbeda, spt bekas krn lecek",3
355,MASKER 3M 9501V+ KN95 N95 EARLOOP IMPORT ORIGINALL 1 BAG ISI 25 PCS,Michael,Recomended.................,5
356,MASKER 3M 9501V+ KN95 N95 EARLOOP IMPORT ORIGINALL 1 BAG ISI 25 PCS,Rendy,mantap ..tq Kak sdh saya terima dngn baik🙏🙏,5
357,Basicmeds Surgical Mask - Masker Medis/ 3Ply/ BFE99%/ Isi 50/ Biru,P***a,oke,5
358,Basicmeds Surgical Mask - Masker Medis/ 3Ply/ BFE99%/ Isi 50/ Biru,BPudjowahjanto,ok,5
